"regno","Name","Latest income","Latest expenditure","Address","Postcode"
226921,"CATHEDRAL DISTRICT CLOTHING CLUB",28,3,"MANCHESTER CATHEDRAL, VICTORIA STREET, MANCHESTER","M3 1SX"
227242,"THE MEMORIAL HALL",12376,15607,"19 Garfield Avenue, MANCHESTER","M19 3LE"
228038,"THE SUSTENTATION FUND",7226,18683,"MANCHESTER REFORM SYNAGOGUE, JACKSONS ROW, MANCHESTER","M2 5NH"
228577,"MANCHESTER SETTLEMENT",702597,749452,"Manchester Settlement, 1328-1330 Ashton Old Road, MANCHESTER","M11 1JG"
228916,"THE GRATRIX CHARITY FOR POOR PLUMBERS, GLASIERS, BRASSWORKERS, LEADWORKERS AND GAS FITTERS",0,400,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
229406,"FANNY RAPAPORT CHARITABLE TRUST",209,80711,"KUIT STEINART LEVY, 3 ST. MARYS PARSONAGE, MANCHESTER","M3 2RD"
232255,"ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS MANCHESTER AND SALFORD BRANCH",484773,499994,"MANCHESTER & SALFORD BRANCH, 565 WILBRAHAM ROAD, MANCHESTER","M21 0AE"
232541,"ROMAN CATHOLIC PURPOSES ADMINISTERED IN CONNECTION WITH THE SOCIETY OF AFRICAN MISSIONS",1622927,1389057,"S M A FATHERS, 378 UPPER BROOK STREET, MANCHESTER","M13 0EP"
233814,"MANCHESTER DIOCESAN CHURCH OF ENGLAND COUNCIL FOR SOCIAL AID",109315,122765,"DIOCESAN BOARD OF FINANCE, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2GH"
234332,"EREZ (MANCHESTER) LIMITED",63049,55379,"Middleton House, 3 Middleton Road, MANCHESTER","M8 5DT"
234651,"THE DARBISHIRE HOUSE FUND",0,0,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
234779,"MANCHESTER GIRLS' INSTITUTE TRUST FUND",5586,4450,"GREATER MANCHESTER LIEUTENANCY OFFI, Suite 6, Parkway Five, Parkway Business Centre, Princess Road, Manchester","M14 7HR"
235313,"THE MANCHESTER LITERARY AND PHILOSOPHICAL SOCIETY",73894,86954,"5th Floor, Church House, 90 Deansgate, MANCHESTER","M3 2GP"
235459,"THE MACHZIKEI HADASS COMMUNITIES",3185067,3023230,"ENTERPRISE HOUSE, 3 MIDDLETON RD, MANCHESTER","M8 5DT"
235523,"THE AUDENSHAW FOUNDATION",6828,14195,"University of Manchester, Room G.005, John Owens Building, Oxford Road, MANCHESTER","M13 9PL"
235910,"THE HARRY TURNER ALMSHOUSES TRUST",188442,179214,"c/o Kay Johnson Gee, 1 City Road East, Manchester","M15 4PN"
235916,"MANCHESTER DISTRICT NURSING INSTITUTION FUND",29539,23126,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
236149,"THE CHARLES HALLE FOUNDATION",266038,289998,"HALLE CONCERTS SOCIETY, THE BRIDGEWATER HALL, LOWER MOSLEY STREET, MANCHESTER","M1 5HA"
236453,"CHARITIES ADMINISTERED IN CONNECTION WITH THE FRANDLEY PREPARATIVE MEETING",20,20,"34 ELMSMERE ROAD, MANCHESTER","M20 6FL"
241764,"ELIZABETH STOPFORD FOR ALMSHOUSES",11739,10758,"Mayes Gardens Office, Harrison Street, Manchester","M4 7FN"
242838,"THE DEAN OF MANCHESTER CROSLAND FUND",7569,6245,"MANCHESTER CATHEDRAL, VICTORIA STREET, MANCHESTER","M3 1SX"
248685,"PAKISTANI RESOURCE CENTRE LIMITED",41540,57067,"Pakistani Resource Centre, Emery House, Suite 2A, 195 Fog Lane, Burnage, Manchester","M20 6FJ"
249424,"MANCHESTER DIOCESAN BOARD OF FINANCE",13673000,13817000,"DIOCESAN BOARD OF FINANCE, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2GH"
249657,"MANCHESTER CHILDREN'S RELIEF IN NEED CHARITY",20535,15640,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
250086,"MOTHERS' UNION (DIOCESE OF MANCHESTER BRANCH)",77291,76254,"THIRD FLOOR, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2GH"
250311,"CHARITY OF BENJAMIN BUTTERWORTH FOR POOR",1,1,"CENTRAL BUILDINGS, OLDHAM STREET, MANCHESTER","M1 1JQ"
250658,"THE MANCHESTER YOUNG MEN'S CHRISTIAN ASSOCIATION (INCORPORATED)",2246528,2030363,"MANCHESTER YMCA, LIVERPOOL ROAD, MANCHESTER","M3 4JR"
250760,"HILLEL HOUSE (MANCHESTER)",12600,24114,"8 PARK ROAD, MANCHESTER","M8 4HU"
251259,"MANCHESTER COUNCIL FOR COMMUNITY RELATIONS",25558,24903,"139 PRINCESS ROAD, MOSS SIDE, MANCHESTER","M14 4RE"
251267,"THE SISTERS OF CHARITY OF OUR LADY OF EVRON",602549,436210,"EMNAUS, SUDELL STREET, MANCHESTER","M4 4JF"
251737,"TIFERETH BENEVOLENT FUND LIMITED",27174,12502,"LOPAIN GROSS BARNETT & CO, CARDINAL HOUSE, 20 ST. MARYS PARSONAGE, MANCHESTER","M3 2LG"
251980,"PATRICROFT SCOUT HALL",2413,0,"FLAT 4 THE SORTING HOUSE, 83 NEWTON STREET, MANCHESTER","M1 1EP"
253233,"MANCHESTER DOMESTIC MISSION SOCIETY",217,200,"Cross Street Chapel, 29 Cross Street, MANCHESTER","M2 1NL"
255424,"ROYAL EXCHANGE THEATRE COMPANY LIMITED",9254000,10785000,"ROYAL EXCHANGE THEATRE CO LTD, ST. ANNS SQUARE, MANCHESTER","M2 7DH"
257238,"MANCHESTER JEWISH COMMUNITY CARE",539870,613890,"85 MIDDLETON ROAD, CRUMPSALL, MANCHESTER","M8 4JY"
257530,"TRUST PROPERTY ADMINISTERED IN CONNEXION WITH DOB LANE CHAPEL FAILSWORTH",4516,16319,"51 ASSHETON CRESCENT, MANCHESTER","M40 1NN"
259181,"THE COUNCIL OF MANCHESTER AND SALFORD JEWS CHARITABLE TRUST",5598,6462,"Nicky Alliance Day Centre, 85 Middleton Road, Manchester, Manchester","M8 4JY"
260318,"THE DEAN ALMOND LEGACY",41,41,"THE METHODIST CHURCH, 1 CENTRAL BUILDINGS, OLDHAM STREET, MANCHESTER","M1 1JQ"
260951,"J E WHITEHEAD CHARITABLE TRUST",8786,24332,"DWF LLP, 1 SCOTT PLACE, 2 HARDMAN STREET, MANCHESTER","M3 3AA"
262269,"NATIONAL ASSOCIATION OF CO-OPERATIVE OFFICIALS - BENEVOLENT FUND",7306,12168,"Usdaw, 188 Wilmslow Road, MANCHESTER","M14 6LJ"
262352,"ARDINA LIMITED",235100,258948,"LOPAIN GROSS BARNETT & CO, CARDINAL HOUSE, 20 ST. MARYS PARSONAGE, MANCHESTER","M3 2LG"
262362,"ASSOCIATION FOR THE CATHOLIC DEAF OF GREAT BRITAIN AND IRELAND",17218,15055,"HOLLYWOOD HOUSE, 2 NOBBY STILES DRIVE, MANCHESTER","M4 4FA"
264185,"THE HOLDEN CHARITABLE TRUST",233979,425810,"6TH FLOOR, CARDINAL HOUSE, 20 ST MARYS PARSONAGE, MANCHESTER","M3 2LG"
268131,"GREYGARTH ASSOCIATION",316908,270272,"1 LOWER PARK ROAD, MANCHESTER","M14 5RS"
272271,"THE BRITISH REGION OF THE INTERNATIONAL ECUMENICAL FELLOWSHIP",10046,11774,"4 ST. ANNES ROAD, MANCHESTER","M21 8TD"
273345,"ROYAL EXCHANGE THEATRE TRUSTEES LIMITED",0,71030,"ROYAL EXCHANGE THEATRE CO LTD, ST. ANNS SQUARE, MANCHESTER","M2 7DH"
273535,"BURDEN'S CHARITABLE FOUNDATION",50233,42215,"CASTLEFIELD PARTNERS LIMITED, Rodwell Tower, 111 Piccadilly, MANCHESTER","M1 2HY"
274769,"THE ZOCHONIS CHARITABLE TRUST",5258136,4308312,"THE ZOCHONIS CHARITABLE TRUST, MANCHESTER BUSINESS PARK, 3500 AVIATOR WAY, MANCHESTER","M22 5TG"
275063,"BARRIE BADLAND TRUST",2326,0,"BEEVER & STRUTHERS, ST. GEORGES HOUSE, 215-219 CHESTER ROAD, MANCHESTER","M15 4JE"
275434,"THE BERLEON TRUST",24431,48512,"70 BARTON ARCADE, MANCHESTER","M3 2BJ"
276954,"MANCHESTER CHRISTIAN COLLEGE LIMITED",16300,16300,"MANCHESTER CHRISTIAN COLLEGE LTD, CHIPPENHAM ROAD, MANCHESTER","M4 6FF"
277135,"COMMUNITY ARTS NORTHWEST",303878,264799,"Community Arts North West, 46-50 Oldham Street, MANCHESTER","M4 1LE"
277256,"ASHLEY EDUCATIONAL TRUST LIMITED",474410,289469,"43 PINE ROAD, MANCHESTER","M20 6UZ"
278912,"NORTHERN CHAMBER ORCHESTRA LIMITED",275271,277465,"MMU Brooks Building, 53 Bonsall Street, Manchester","M15 6GX"
279161,"THE SANDY DEWHIRST CHARITABLE TRUST",31893,57681,"ADDLESHAW GODDARD, ONE ST PETER'S SQUARE, MANCHESTER","M2 3DE"
279342,"MITRINOVIC FOUNDATION",1632,2151,"25 Chorlton Park Flats, 417 Barlow Moor Road, Chorlton-cum-Hardy, Manchester","M21 8JD"
279522,"THE A J FREEMAN CHARITABLE TRUST",2147,10540,"3 ST. MARYS PARSONAGE, MANCHESTER","M3 2RD"
279786,"THE MICHAEL DEWHIRST CHARITABLE TRUST",58961,52317,"ADDLESHAW GODDARD, ONE ST PETER'S SQUARE, MANCHESTER","M2 3DE"
280343,"THE B & G T FOUNDATION",1,144,"ELM HOUSE, 2 MAULDETH ROAD, WITHINGTON, MANCHESTER","M20 4ND"
280356,"M C A CHARITABLE TRUST",535,20,"TRUSTEES FOR METHODIST, CHURCH PURPOSES, CENTRAL BUILDINGS, OLDHAM STREET, MANCHESTER","M1 1JQ"
282042,"ANAESTHETIC RESEARCH SOCIETY",21248,21032,"Department of Anaesthesia, Manchester University Nhs F Trust, Oxford Road, MANCHESTER","M13 9WL"
282339,"SIDDINGTON TRUST LIMITED",319502,218677,"43 PINE ROAD, MANCHESTER","M20 6UZ"
282478,"THE WESTCOTT GIRLS' CAMP TRUST",7261,6956,"WESTCOTT GIRLS CAMP, 29 GRAINGER AVENUE, MANCHESTER","M12 4WT"
282771,"THE TERENCE JUDD TRUST",7828,4024,"HALLE CONCERTS SOCIETY, THE BRIDGEWATER HALL, LOWER MOSLEY STREET, MANCHESTER","M1 5HA"
286145,"HALLE ENDOWMENT TRUST",365059,321948,"HALLE CONCERTS SOCIETY, THE BRIDGEWATER HALL, LOWER MOSLEY STREET, MANCHESTER","M1 5HA"
286840,"THE ROYAL PHILATELIC SOCIETY, LONDON",1094329,598597,"9 OAKER AVENUE, MANCHESTER","M20 2XH"
288679,"THE CLINICAL ENDOCRINOLOGY TRUST",84255,98095,"Apt. 3 The Fairfax, 611a Wilmslow Road, Manchester","M20 6DR"
295260,"THE NATIONAL MUSEUM OF LABOUR HISTORY",1402270,1865611,"Peoples History Museum, Leftbank, Manchester","M3 3ER"
295679,"BUNNEY RECKITT TRUST",7414,5082,"15 HOLLYWAY, MANCHESTER","M22 4WS"
298723,"SOCIETY OF CHRIST (GREAT BRITAIN)",1366935,1324319,"SOCIETY OF CHRIST (GB), 18 CARLTON ROAD, MANCHESTER","M16 8BB"
313186,"THE J G BIRD TRUST",12668,4586,"WILLIAM HULMES GRAMMAR SCHOOL, SPRINGBRIDGE ROAD, MANCHESTER","M16 8PR"
325133,"THE HERBERT WHITWORTH LIMITED SCHOLARSHIP FUND",2432,42490,"C/O Greater Manchester Chamber of, Commerce, Elliot House, 151 Deansgate, MANCHESTER","M3 3WD"
326039,"MUSLIM STUDENTS HOUSE (MANCHESTER)",6912,6632,"272 Dickenson Road, Manchester","M13 0YL"
326329,"LOCALTRENT LIMITED",549010,295089,"LOPAIN GROSS BARNETT & CO, CARDINAL HOUSE, 20 ST. MARYS PARSONAGE, MANCHESTER","M3 2LG"
326374,"THE BRITISH BLOOD TRANSFUSION SOCIETY",264595,285246,"Enterprise House, Manchester Science Park, Lloyd Street North, Manchester","M15 6SE"
326541,"BERT YOUNGJOHNS MEMORIAL SCHOLARSHIP FUND",0,0,"Co-operative College, Holyoake House, Hanover Street, MANCHESTER","M60 0AS"
326920,"BEIS MINCHAS YITZCHOK TRUST",385954,353550,"HEATON HOUSE, 148 BURY OLD ROAD, MANCHESTER","M7 4SE"
327233,"THE MUSLIM YOUTH FOUNDATION",61895,65350,"CLYDESDALE HOUSE, 27 TURNER STREET, MANCHESTER","M4 1DY"
327235,"THE ISLAMIC CENTRE (MANCHESTER)",316836,112588,"271 BURTON ROAD, MANCHESTER","M20 2WA"
327360,"INTERNATIONAL CATHOLIC FOUNDATION FOR THE SERVICE OF DEAF PERSONS",4,2338,"Hollywood House, 2 Nobby Stiles Drive, , MANCHESTER","M4 4FA"
327952,"THE STAFF COUNCIL CHARITABLE TRUST",18753,14500,"THE CO-OPERATIVE GROUP, 1 ANGEL SQUARE, MANCHESTER","M60 0AG"
328659,"FRANCIS HOUSE FAMILY TRUST",4207162,4661471,"Francis House Family Trust, 390 Parrs Wood Road, East Didsbury, Manchester","M20 5NA"
500198,"CONTACT",214003,200527,"339 Wilbraham Road, Whalley Range, Manchester","M16 8GL"
500271,"THE LEAGUE OF FRIENDS OF WYTHENSHAWE HOSPITAL",86512,107948,"3 WADEBRIDGE AVENUE, MANCHESTER","M23 9LS"
500562,"THE MANCHESTER CHINESE CHRISTIAN CHURCH",459905,374144,"9 GILDRIDGE ROAD, MANCHESTER","M16 8PS"
501253,"THE PARISH HALL CHARITY",36617,36023,"THE PARISH HALL CHARITY, 6 BARLOW MOOR ROAD, MANCHESTER","M20 6TR"
501909,"THE ROYAL EXCHANGE THEATRE APPEAL FUND",14295,28762,"ROYAL EXCHANGE THEATRE CO LTD, ST. ANNS SQUARE, MANCHESTER","M2 7DH"
501953,"THE MANCHESTER YOUNG PEOPLE'S THEATRE LIMITED",3326398,2313729,"CONTACT THEATRE, DEVAS STREET, MANCHESTER","M15 6JA"
502002,"EAST CHESHIRE AREA QUAKER MEETING OF THE RELIGIOUS SOCIETY OF FRIENDS",9900,1331,"34 ELMSMERE ROAD, MANCHESTER","M20 6FL"
502452,"GEORGE JACKSON HOUSE TRUST",1000,1000,"34 Coxton Road, Moss Nook, Manchester","M22 0FA"
503126,"BIRLEY TRUST",1917,1917,"DIOCESAN BOARD OF FINANCE, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2GH"
503200,"NORTHENDEN CIVIC SOCIETY",2213,2954,"15 HOLLYWAY, MANCHESTER","M22 4WS"
503675,"MANCHESTER CAMERATA LIMITED",1423253,1401415,"5th Floor, Bonded Warehouse, 18 Byrom Street, Manchester","M3 4AP"
503753,"THE MANCHESTER DISTRICT ASSOCIATION OF UNITARIAN AND FREE CHRISTIAN CHURCHES",208000,75000,"CROSS STREET UNITARIAN CHAPEL, CROSS STREET, MANCHESTER","M2 1NL"
504096,"THE PETER HENRIQUES FOUNDATION",26511,32337,"ROYAL EXCHANGE THEATRE CO LTD, ST. ANNS SQUARE, MANCHESTER","M2 7DH"
504132,"DIOCESE OF SALFORD FELLOWSHIP FOR THE HANDICAPPED",39701,23529,"19 HAZELDENE ROAD, MANCHESTER","M40 3GL"
504523,"WHITELEGG ALMSHOUSES",23496,21882,"Mayes Gardens Staff Office, Harrison Street, Manchester","M4 7FN"
504542,"GREATER MANCHESTER CENTRE FOR VOLUNTARY ORGANISATION",6456725,5785501,"GMCVO, ST. THOMAS CENTRE, ARDWICK GREEN NORTH, MANCHESTER","M12 6FZ"
504948,"THE ROYAL NORTHERN COLLEGE OF MUSIC AWARDS FUND",1819009,1718458,"ROYAL NORTHERN COLLEGE OF MUSIC, 124 OXFORD ROAD, MANCHESTER","M13 9RD"
504949,"THE ROYAL NORTHERN COLLEGE OF MUSIC ENDOWMENT FUND",2292674,1475797,"ROYAL NORTHERN COLLEGE OF MUSIC, 124 OXFORD ROAD, MANCHESTER","M13 9RD"
505121,"WILLIAM HULME'S GRAMMAR SCHOOL TRUST",21180,2110,"WILLIAM HULMES GRAMMAR SCHOOL, SPRINGBRIDGE ROAD, MANCHESTER","M16 8PR"
505201,"LAURA CLEMENTINA WHITEHEAD",2525,165,"CENTRAL BUILDINGS, OLDHAM STREET, MANCHESTER","M1 1JQ"
505207,"W G S TRUST",886319,1024125,"WITHINGTON GIRLS SCHOOL, 100 WELLINGTON ROAD, FALLOWFIELD, MANCHESTER","M14 6BL"
505256,"KIDNEYS FOR LIFE FUNDRAISING FOR MINT",335724,504283,"Kidneys for Life, Renal Research, Manchester Royal Infirmary, Oxford Road, Manchester","M13 9WL"
505344,"409TH MANCHESTER SCOUT GROUP",9600,9385,"75 Selstead Road, MANCHESTER","M22 1TP"
505354,"GURU NANAK GURDWARA (SIKH TEMPLE)",76220,51212,"14 MONTON STREET, MANCHESTER","M14 4LS"
506298,"3RD AND 4TH LANCASHIRE GROUP OF THE BRITISH ASSOCIATION OF THE EUROPEAN SCOUT FEDERATION",0,150,"49 MARLFIELD STREET, MANCHESTER","M9 4BA"
506418,"THE DAISY CROSS (SOROPTIMIST) TRUST",0,443,"72 Dennison Avenue, MANCHESTER","M20 1GF"
506421,"SLADE LANE NEIGHBOURHOOD CENTRE",33254,32396,"SLADE LANE NEIGHBOURHOOD CENTRE, 642 STOCKPORT ROAD, MANCHESTER","M13 0RZ"
506437,"NORTH MANCHESTER TALKING NEWSPAPER",2,429,"3 Kings Avenue, Crumpsall, Manchester","M8 5AS"
506576,"VICTORIA PARK FELLOWSHIP TRUST",47561,41942,"The Chapel, 31a Daisy Bank Road, Victoria Park, Manchester","M14 5GP"
506823,"THE MANCHESTER HIGH SCHOOL FOR GIRLS GENERAL CHARITABLE TRUST",556954,390259,"MANCHESTER HIGH SCHOOL FOR GIRLS, GRANGETHORPE ROAD, MANCHESTER","M14 6HS"
507162,"GADDUM CENTRE",2279768,2261513,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
507409,"ST BEDE'S COLLEGE EDUCATIONAL TRUST",4232,1908,"ST. BEDES COLLEGE, ALEXANDRA ROAD SOUTH, MANCHESTER","M16 8HX"
507601,"LADYBARN EDUCATIONAL CHARITY",660,660,"DIOCESAN BOARD OF FINANCE, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2GH"
507626,"THE JOSEPH COX CHARITY",1366142,1295082,"Flat 60, Agnes Court, Wilmslow Road, Manchester","M14 6AJ"
507848,"PLANNED-RETIREMENT ASSOCIATION OF GREATER MANCHESTER",29961,3777,"20 St Ann's Square, Manchester","M2 7HG"
507873,"ST GEORGES YOUTH AND COMMUNITY ASSOCIATION",34226,39988,"LIVESEY ST, COLLYHURST, MANCHESTER","M40 7NY"
508018,"COPPERDALE TRUST",118700,112571,"COPPERDALE TRUST, SOLWAY ROAD, MANCHESTER","M22 9XR"
509075,"THE COTTON TEXTILES RESEARCH TRUST",78189,174301,"UNIVERSITY OF MANCHESTER, OXFORD ROAD, MANCHESTER","M13 9PL"
509408,"THE CHORLTON CONVENT BURSARIES TRUST",6806,34264,"ST. BEDES COLLEGE, ALEXANDRA ROAD SOUTH, MANCHESTER","M16 8HX"
509563,"CHARITY OF MARY PATRICIA O'HALLORAN",8059,5000,"HOLY NAME CHURCH, 339 OXFORD ROAD, MANCHESTER","M13 9PG"
509771,"Greater Manchester Rape Crisis- Rape and Sexual Abuse Support Centre",331491,270654,"73 Ardwick Green North, MANCHESTER","M12 6FX"
509772,"THE GREATER MANCHESTER TRANSPORT SOCIETY",93436,67712,"Museum of Transport, Boyle Street, MANCHESTER","M8 8UW"
509858,"THE MANCHESTER HINDU CULTURAL SOCIETY",107305,70306,"517 WILBRAHAM ROAD, CHORLTON, MANCHESTER","M21 0UF"
510184,"TURKEY LANE AND MONSALL NEIGHBOURHOOD CENTRE",47911,47150,"TURKEY LANE AND MONSALL  CENTRE, 1 JOCELYN STREET  MILES PLATTING, MANCHESTER, LANCASHIRE","M40 8PR"
510668,"WILLIAM HULME'S GRAMMAR SCHOOL FOUNDATION",98071,58150,"WILLIAM HULMES GRAMMAR SCHOOL, SPRINGBRIDGE ROAD, MANCHESTER","M16 8PR"
511024,"THE SIKH ASSOCIATION MANCHESTER",70850,85407,"SIKH ASSOCIATION MANCHESTER, 32 DERBY STREET, MANCHESTER","M8 8RY"
511078,"WITHINGTON CIVIC SOCIETY",11252,10218,"8 GWYNANT PLACE, MANCHESTER","M20 4AE"
511167,"THE LANCASHIRE ASSOCIATION OF CHANGE RINGERS' BELL RESTORATION FUND",26473,28020,"26 KENSINGTON ROAD, MANCHESTER","M21 9QJ"
511255,"STOCKPORT VOLUNTEER ARMOURY",8500,8100,"29 Merston Drive, Manchester","M20 5NT"
511887,"THE NEUROLOGICAL FUND",2503,1520,"DWF LLP, 1 SCOTT PLACE, 2 HARDMAN STREET, MANCHESTER","M3 3AA"
512410,"PAKISTANI COMMUNITY CENTRE (LONGSIGHT)",17460,11047,"612A STOCKPORT ROAD, MANCHESTER","M13 0RQ"
512616,"IBAD-UR-RAHMAN TRUST",929399,297159,"8 BOARDMAN ROAD, MANCHESTER","M8 4WJ"
512666,"WHALLEY RANGE YOUTH OPPORTUNITY ASSOCIATION",89520,76200,"JNR8, 82, CROMWELL AVENUE, WHALLEY RANGE, MANCHESTER","M16 0BG"
513887,"DASHMASH SIKH TEMPLE",39073,26413,"Gurduwara Sikh Temple, 98 Heywood Street, MANCHESTER","M8 0DT"
514719,"GREATER MANCHESTER ARTS CENTRE LIMITED",6362428,6543461,"Greater Manchester Arts Centre Ltd, 2 Tony Wilson Place, Manchester","M15 4FN"
514937,"MANCHESTER BUDDHIST CENTRE",335309,357650,"MANCHESTER BUDDHIST CENTRE, 16-20 TURNER STREET, MANCHESTER","M4 1DZ"
515341,"THE MANCHESTER GUARDIAN SOCIETY CHARITABLE TRUST",128362,189934,"One St Peter's Square, Manchester, , , Greater Manchester","M2 3DE"
515571,"CASTLEFIELD GALLERY",558454,570063,"2 HEWITT STREET, MANCHESTER","M15 4GB"
515581,"THE PORTICO LIBRARY TRUST",117506,142972,"The Portico Library & Gallery, 57 Mosley Street, MANCHESTER","M2 3HY"
515778,"CUTCHI SUNNI MUSLIM ASSOCIATION",23875,24323,"34 EDILOM ROAD, MANCHESTER","M8 4HZ"
516045,"PARRS WOOD HIGH SCHOOL ASSOCIATION",1817,2194,"347 Parrs Wood Road, MANCHESTER","M20 6JF"
516351,"INNER CITY MUSIC LIMITED",2062360,1962792,"C/o Band on the Wall, 27 Swan St, Northern Quarter, Manchester","M4 5JZ"
516553,"BLAIR BELL RESEARCH SOCIETY",1237,1600,"MATERNAL AND FETAL HEALTH CENTRE, 5TH FLOOR (RESEARCH), ST MARY'S HOSPITAL, OXFORD ROAD, MANCHESTER","M13 9WL"
517880,"INDIAN ASSOCIATION - MANCHESTER",87314,86930,"5 ST. WERBURGHS ROAD, MANCHESTER","M21 0TW"
518092,"HINDU RELIGIOUS SOCIETY",52764,35659,"24-26 Stephens Road, Manchester","M20 4UY"
518471,"THE KING OF KINGS SCHOOL",87527,85782,"King Of Kings School, 142 Dantzic Street, MANCHESTER","M4 4DN"
518794,"THE KHALEQUE AND SARIFUN MEMORIAL TRUST",2250,310,"8 Elm Road, Didsbury, Manchester","M20 6XB"
518947,"THE TEMA KNELL CHARITABLE TRUST",2400,4377,"North Manchester General Hospital, Delaunays Road, Manchester","M8 5RB"
518992,"CENTRE FOR CHINESE CONTEMPORARY ART",453727,467175,"Centre for Chinese Contemporary Art, Market Buildings, Thomas Street, MANCHESTER","M4 1EU"
519213,"THE MECHANICS CENTRE MUSEUM OF LABOUR AND TRADES UNION HISTORY TRUST",45092,30678,"MECHANICS CENTRE LTD, 103 PRINCESS STREET, MANCHESTER","M1 6DD"
